People,Female Selfie[ZWJ sequence:👩+🤳=👩‍🤳],Peter Edberg,2016‑11‑03,L2/16‑333,149‑A111*
,Person Dancing,Charlotte Buff,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
2017‑12‑24,L2/17‑439,L2/18‑022154‑A45154‑A46†,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
,Woman with Chinese Cap[ZWJ sequence:👲+♀️=👲‍♀️],Charlotte Buff,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
2017‑12‑24,L2/17‑439,L2/18‑022154‑A45154‑A46†,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
,Man with Chinese Cap[ZWJ sequence:👲+♂️=👲‍♂️],Charlotte Buff,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
2017‑12‑24,L2/17‑439,L2/18‑022154‑A45154‑A46†,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
,Woman in Suit Levitating[ZWJ sequence:🕴️+♀️=🕴️‍♀️],Charlotte Buff,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
2017‑12‑24,L2/17‑439,L2/18‑022154‑A45154‑A46†,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
,Man in Suit Levitating[ZWJ sequence:🕴️+♂️=🕴️‍♂️],Charlotte Buff,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
2017‑12‑24,L2/17‑439,L2/18‑022154‑A45154‑A46†,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
,Woman Breast‐Feeding[ZWJ sequence:🤱+♀️=🤱‍♀️],Charlotte Buff,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
2017‑12‑24,L2/17‑439,L2/18‑022154‑A45154‑A46†,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
,Man Breast‐Feeding[ZWJ sequence:🤱+♂️=🤱‍♂️],Charlotte Buff,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
2017‑12‑24,L2/17‑439,L2/18‑022154‑A45154‑A46†,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
